,population
1457,2000.0
1458,20000.0
1459,2.0
1460,0.0
1461,15.0
1462,0.0
1463,0.0
1464,3.0
1465,0.0
1466,47.0
1467,350.0
1468,501.0
1469,0.0
1470,14.0
1471,12.0
1472,30.0
1473,68.0
1474,0.0
1475,10.0
1476,7.0
1477,29.0
1478,200.0
1479,1.0
1480,9.0
1481,0.0
1482,125.0
1483,14.0
1484,0.0
1485,39.0
1486,26.0
1487,60.0
1488,0.0
1489,200.0
1490,1.0
1491,239.0
1492,2385.0
1493,0.0
1494,81.0
1495,21.0
1496,0.0
1497,0.0
1498,52.0
1499,11.0
1500,50.0
1501,51.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,168.0
1510,47.0
1511,0.0
1512,242000.0
1513,47.0
1514,13.0
1515,0.0
1516,0.0
1517,1.0
1518,82.0
1519,0.0
1520,20.0
1521,60.0
1522,1.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,23000.0
1529,9.0
1530,0.0
1531,0.0
1532,38.0
1533,20.0
1534,1126.0
1535,163.0
1536,25.0
1537,40.0
1538,270.0
1539,16.0
1540,1.0
1541,945.0
1542,0.0
1543,169.0
1544,25.0
1545,16.0
1546,120.0
1547,600.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,16.0
1553,0.0
1554,150.0
1555,0.0
1556,0.0
1557,338.0
1558,6000.0
1559,18.0
1560,387.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,3846.0
1567,67.0
1568,139.0
1569,70.0
1570,0.0
1571,3.0
1572,0.0
1573,13.0
1574,600.0
1575,21.0
1576,13.0
1577,20.0
1578,0.0
1579,10.0
1580,0.0
1581,62.0
1582,10.0
1583,0.0
1584,0.0
1585,0.0
1586,15.0
1587,147.0
1588,0.0
1589,1.0
1590,7.0
1591,0.0
1592,7.0
1593,64.0
1594,26.0
1595,6.0
1596,0.0
1597,27.0
1598,0.0
1599,0.0
1600,1.0
1601,0.0
1602,187.0
1603,22.0
1604,1.0
1605,60.0
1606,500.0
1607,14206.0
1608,1114.0
1609,23.0
1610,0.0
1611,5.0
1612,32.0
1613,3.0
1614,100.0
1615,315.0
1616,0.0
1617,0.0
1618,27.0
1619,0.0
1620,10.0
1621,10.0
1622,3.0
1623,300.0
1624,3.0
1625,0.0
1626,2.0
1627,105.0
1628,848.0
1629,21.0
1630,1.0
1631,24.0
1632,0.0
1633,104.0
1634,0.0
1635,0.0
1636,1641.0
1637,34.0
1638,0.0
1639,0.0
1640,13.0
1641,13.0
1642,1.0
1643,0.0
1644,0.0
1645,30.0
1646,45.0
1647,61.0
1648,0.0
1649,0.0
1650,39.0
1651,101.0
1652,91.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,4.0
1659,120.0
1660,0.0
1661,5.0
1662,0.0
1663,7.0
1664,5.0
1665,2.0
1666,17.0
1667,1030.0
1668,5.0
1669,40.0
1670,0.0
1671,26.0
1672,4.0
1673,0.0
1674,0.0
1675,6.0
1676,0.0
1677,2.0
1678,0.0
1679,2.0
1680,9.0
1681,0.0
1682,3.0
1683,0.0
1684,50.0
1685,0.0
1686,11.0
1687,0.0
1688,63.0
1689,70.0
1690,150.0
1691,4610.0
1692,64.0
1693,15.0
1694,626.0
1695,170.0
1696,25045.0
1697,5.0
1698,1.0
1699,53.0
1700,8.0
1701,6.0
1702,27.0
1703,0.0
1704,31.0
1705,10.0
1706,740.0
1707,70.0
1708,0.0
1709,9.0
1710,6.0
1711,0.0
1712,40.0
1713,4.0
1714,0.0
1715,0.0
1716,100.0
1717,130.0
1718,0.0
1719,393.0
1720,19.0
1721,2.0
1722,0.0
1723,53.0
1724,22.0
1725,617.0
1726,0.0
1727,34.0
1728,0.0
1729,96.0
1730,50.0
1731,0.0
1732,0.0
1733,27.0
1734,150.0
1735,65.0
1736,74.0
1737,0.0
1738,26.0
1739,11.0
1740,0.0
1741,35.0
1742,0.0
1743,15.0
1744,18.0
1745,53.0
1746,0.0
1747,0.0
1748,300.0
1749,0.0
1750,30.0
1751,0.0
1752,42.0
1753,639.0
1754,62.0
1755,0.0
1756,40.0
1757,32.0
1758,1400.0
1759,0.0
1760,50.0
1761,3.0
1762,20.0
1763,53.0
1764,11.0
1765,0.0
1766,15.0
1767,0.0
1768,0.0
1769,0.0
1770,13.0
1771,1.0
1772,8.0
1773,99.0
1774,539.0
1775,164.0
1776,23.0
1777,257.0
1778,0.0
1779,400.0
1780,253.0
1781,272.0
1782,594.0
1783,565.0
1784,5.0
1785,9.0
1786,44.0
1787,23.0
1788,71.0
1789,0.0
1790,115.0
1791,0.0
1792,16.0
1793,5.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,5.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,70.0
1805,13.0
1806,13.0
1807,0.0
1808,62.0
1809,13.0
1810,3.0
1811,23.0
1812,0.0
1813,0.0
1814,2.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,100.0
1820,55.0
1821,31.0
1822,2.0
1823,0.0
1824,121.0
1825,22.0
1826,0.0
1827,0.0
1828,41.0
1829,0.0
1830,69.0
1831,0.0
1832,0.0
1833,655.0
1834,11.0
1835,0.0
1836,67.0
1837,15.0
1838,0.0
1839,0.0
1840,6303.0
1841,0.0
1842,188.0
1843,0.0
1844,40.0
1845,0.0
1846,1.0
1847,3.0
1848,0.0
1849,0.0
1850,0.0
1851,7.0
1852,2633.0
1853,8.0
1854,0.0
1855,18.0
1856,6.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,1.0
1862,0.0
1863,0.0
1864,2.0
1865,0.0
1866,220.0
1867,0.0
1868,153.0
1869,100.0
1870,0.0
1871,0.0
1872,13.0
1873,79.0
1874,50.0
1875,2411.0
1876,150.0
1877,125.0
1878,28.0
1879,50.0
1880,256.0
1881,4689.0
1882,6.0
1883,2.0
1884,20.0
1885,7.0
1886,165.0
1887,0.0
1888,9.0
1889,0.0
1890,67.0
1891,4.0
1892,100.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,100.0
1899,0.0
1900,75.0
1901,18.0
1902,7.0
1903,70.0
1904,0.0
1905,2.0
1906,50.0
1907,212.0
1908,0.0
1909,0.0
1910,10.0
1911,25.0
1912,0.0
1913,0.0
1914,0.0
1915,3000.0
1916,0.0
1917,57.0
1918,75.0
1919,40.0
1920,1260.0
1921,36.0
1922,12.0
1923,90.0
1924,0.0
1925,0.0
1926,94.0
1927,308.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,2.0
1933,0.0
1934,70.0
1935,1015.0
1936,0.0
1937,97.0
1938,0.0
1939,0.0
1940,0.0
1941,150.0
1942,2315.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,10.0
1948,150.0
1949,65.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,25.0
1955,9.0
1956,20.0
1957,0.0
1958,43.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,12.0
1964,0.0
1965,24.0
1966,0.0
1967,0.0
1968,306.0
1969,500.0
1970,9.0
1971,0.0
1972,192.0
1973,300.0
1974,553.0
1975,470.0
1976,120.0
1977,215.0
1978,3200.0
1979,58.0
1980,200.0
1981,12.0
1982,0.0
1983,40.0
1984,116.0
1985,47.0
1986,0.0
1987,113.0
1988,0.0
1989,0.0
1990,7.0
1991,0.0
1992,107.0
1993,3.0
1994,100.0
1995,8.0
1996,100000.0
1997,0.0
1998,0.0
1999,4.0
2000,0.0
2001,750.0
2002,0.0
2003,26.0
2004,256.0
2005,82.0
2006,56.0
2007,18.0
2008,70.0
2009,70.0
2010,228.0
2011,125.0
2012,200.0
2013,214.0
2014,785.0
2015,26.0
2016,30.0
2017,5.0
2018,0.0
2019,0.0
2020,500.0
2021,55.0
2022,0.0
2023,10.0
2024,26.0
2025,30.0
2026,10.0
2027,20.0
2028,20.0
2029,0.0
2030,0.0
2031,0.0
2032,0.0
2033,70.0
2034,0.0
2035,104.0
2036,0.0
2037,0.0
2038,500.0
2039,1.0
2040,0.0
2041,0.0
2042,1.0
2043,0.0
2044,12.0
2045,0.0
2046,0.0
2047,0.0
2048,0.0
2049,33.0
2050,0.0
2051,0.0
2052,0.0
2053,10.0
2054,0.0
2055,447.0
2056,94.0
2057,90.0
2058,30.0
2059,3.0
2060,0.0
2061,24.0
2062,37.0
2063,307.0
2064,77.0
2065,0.0
2066,16.0
2067,12.0
2068,2.0
2069,620.0
2070,1.0
2071,25.0
2072,5.0
2073,0.0
2074,0.0
2075,130.0
2076,280.0
2077,13.0
2078,3.0
2079,275.0
2080,2.0
2081,30.0
2082,0.0
2083,400.0
2084,932.0
2085,744.0
2086,0.0
2087,0.0
2088,110.0
2089,345.0
2090,100.0
2091,118.0
2092,75.0
2093,68.0
2094,46.0
2095,0.0
2096,54.0
2097,1.0
2098,92.0
2099,19.0
2100,21.0
2101,4.0
2102,225.0
2103,100.0
2104,11.0
2105,0.0
